service_id,date,exception_type
2515-4-1905052026-7IO#CHD6,20260528,2
2515-4-1905072026-7IO#CHD6,20260709,2
2515-4-1905072026-7IO#CHD6,20260716,2
2515-4-1905072026-7IO#CHD6,20260723,2
2515-4-1905072026-7IO#CHD6,20260730,2
2548-3-2000052026-CHD6#MSD6,20260506,2
2548-3-2000052026-CHD6#MSD6,20260513,2
2548-3-2000052026-CHD6#MSD6,20260520,2
2548-4-1645052026-MSD6#CHD6,20260505,2
2548-4-1645052026-MSD6#CHD6,20260512,2
2548-4-1645052026-MSD6#CHD6,20260519,2
2601-11-1845032026-DCD6#6MT,20260310,2
2601-11-1845032026-DCD6#6MT,20260317,2
2601-11-1845032026-DCD6#6MT,20260324,2
2601-132-1115052026-NWK6#DCD6,20260505,2
2601-132-1115052026-NWK6#DCD6,20260506,2
2601-132-1115052026-NWK6#DCD6,20260512,2
2601-132-1115052026-NWK6#DCD6,20260513,2
2601-132-1115052026-NWK6#DCD6,20260519,2
2601-132-1115052026-NWK6#DCD6,20260520,2
2601-133-1635052026-DCD6#NWK6,20260505,2
2601-133-1635052026-DCD6#NWK6,20260506,2
2601-133-1635052026-DCD6#NWK6,20260512,2
2601-133-1635052026-DCD6#NWK6,20260513,2
2601-133-1635052026-DCD6#NWK6,20260519,2
2601-133-1635052026-DCD6#NWK6,20260520,2
2601-151-1300032026-DCD6#6MT,20260310,2
2601-151-1300032026-DCD6#6MT,20260317,2
2601-151-1300032026-DCD6#6MT,20260324,2
2601-184-1930032026-6MT#DCD6,20260310,2
2601-184-1930032026-6MT#DCD6,20260317,2
2601-184-1930032026-6MT#DCD6,20260324,2
2601-193-1930052026-DCD6#6NYY,20260504,2
2601-193-1930052026-DCD6#6NYY,20260505,2
2601-193-1930052026-DCD6#6NYY,20260506,2
2601-193-1930052026-DCD6#6NYY,20260507,2
2601-193-1930052026-DCD6#6NYY,20260511,2
2601-193-1930052026-DCD6#6NYY,20260512,2
2601-193-1930052026-DCD6#6NYY,20260513,2
2601-193-1930052026-DCD6#6NYY,20260514,2
2601-193-1930052026-DCD6#6NYY,20260518,2
2601-193-1930052026-DCD6#6NYY,20260519,2
2601-193-1930052026-DCD6#6NYY,20260520,2
2601-193-1930052026-DCD6#6NYY,20260521,2
2601-202-1900032026-6MT#DCD6,20260310,2
2601-202-1900032026-6MT#DCD6,20260317,2
2601-202-1900032026-6MT#DCD6,20260324,2
2601-265-1500032026-DCD6#6MT,20260310,2
2601-265-1500032026-DCD6#6MT,20260317,2
2601-265-1500032026-DCD6#6MT,20260324,2
2601-294-2200032026-6MT#DCD6,20260310,2
2601-294-2200032026-6MT#DCD6,20260317,2
2601-294-2200032026-6MT#DCD6,20260324,2
2601-371-0915052026-DCD6#6MT,20260507,2
2601-371-0915052026-DCD6#6MT,20260514,2
2601-371-0915052026-DCD6#6MT,20260521,2
2601-372-1530052026-6MT#DCD6,20260507,2
2601-372-1530052026-6MT#DCD6,20260514,2
2601-372-1530052026-6MT#DCD6,20260521,2
2601-373-1630052026-DCD6#6NYY,20260505,2
2601-373-1630052026-DCD6#6NYY,20260512,2
2601-373-1630052026-DCD6#6NYY,20260519,2
2601-374-2300052026-6NYY#DCD6,20260505,2
